Name,Price,Vendor,Avaliability,SKU
Actiu Agile Auxiliary Table,"₦307,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20379
Actiu Tabula TAR-10 Coffee Table,"₦275,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20380
Actiu Bend Coffee Table 66CM,"₦209,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20381
Actiu Arkitek Meeting Table,"₦3,499,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20383
Actiu Vital Plus 60 Meeting Table,"₦886,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20384
LG F4V9BCP2EE 12/8KG Front Load (Wash & Dry) Washing Machine| LGWM4V9BCP2EE,"₦1,028,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20385
Provincia Colonia TV Stand 2.2,"₦205,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20386
Actiu Cubic Storage Cabinet,"₦827,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20393
Actiu Longo Storage Cabinet,"₦759,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20394
Actiu Longo Storage Cabinet with Dark Glass,"₦1,380,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20395
Actiu Modular AR85 Series Storage Cabinet,"₦494,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20396
Actiu Modular AR83 Series Storage Cabinet,"₦398,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20397
Actiu Modular AR82 Series Storage Cabinet,"₦344,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20398
Actiu Block 30 Series Storage Cabinet,"₦1,167,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20399
Actiu Longo Credenza Storage Cabinet,"₦1,128,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20400
Actiu Mobile Metal Pedestal,"₦377,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20401
Actiu Mobile Pedestal,"₦249,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20402
